	question	Company
0	Shortest Distance from All Buildings	Facebook
1	Expression Add Operators	Facebook
2	Buildings With an Ocean View	Facebook
3	Accounts Merge	Facebook
4	Binary Search Tree Iterator	Facebook
5	Basic Calculator III	Facebook
6	K Closest Points to Origin	Facebook
7	Word Break II	Facebook
8	Remove All Adjacent Duplicates in String II	Facebook
9	Kth Largest Element in an Array	Facebook
10	Diagonal Traverse	Facebook
11	Remove All Adjacent Duplicates In String	Facebook
